appliance,model,metric,evaluation
kettle,jkdae,mae,50.449544489509314
kettle,jklstm,mae,12.01564654742938
kettle,s2s,mae,28.535561090245047
kettle,bi_tcn_residual,mae,35.205554202803064
kettle,fcn,mae,11.59179032996582
fridge,jkdae,mae,29.845080016583932
fridge,jklstm,mae,2.856282950319368
fridge,s2s,mae,8.53275018906103
fridge,bi_tcn_residual,mae,13.820670531457251
fridge,fcn,mae,4.401467074201469
microwave,jkdae,mae,23.974915403328705
microwave,jklstm,mae,5.133209340461334
microwave,s2s,mae,22.14957735824088
microwave,bi_tcn_residual,mae,24.806345646378862
microwave,fcn,mae,5.744955937886723
dishwasher,jkdae,mae,47.39492098945901
dishwasher,jklstm,mae,10.73159545671889
dishwasher,s2s,mae,28.38043006062172
dishwasher,bi_tcn_residual,mae,102.25619989439247
dishwasher,fcn,mae,4.612817929599426
washing_machine,jkdae,mae,48.74719234903428
washing_machine,jklstm,mae,12.879222897986697
washing_machine,s2s,mae,27.79615949742867
washing_machine,bi_tcn_residual,mae,63.550280366707945
washing_machine,fcn,mae,10.968467356557891
kettle,jkdae,acc,0.983934760093689
kettle,jklstm,acc,0.9936103224754333
kettle,s2s,acc,0.9782681465148926
kettle,bi_tcn_residual,acc,0.9600949883460999
kettle,fcn,acc,0.9932474493980408
fridge,jkdae,acc,0.7164521217346191
fridge,jklstm,acc,0.7162213325500488
fridge,s2s,acc,0.711909294128418
fridge,bi_tcn_residual,acc,0.7214632630348206
fridge,fcn,acc,0.7651044130325317
microwave,jkdae,acc,0.9789904356002808
microwave,jklstm,acc,0.9716668128967285
microwave,s2s,acc,0.9721991419792175
microwave,bi_tcn_residual,acc,0.9716668128967285
microwave,fcn,acc,0.9847150444984436
dishwasher,jkdae,acc,0.8962126970291138
dishwasher,jklstm,acc,0.9656429886817932
dishwasher,s2s,acc,0.9809573292732239
dishwasher,bi_tcn_residual,acc,0.8600782155990601
dishwasher,fcn,acc,0.9930853247642517
washing_machine,jkdae,acc,0.9209250211715698
washing_machine,jklstm,acc,0.9650731682777405
washing_machine,s2s,acc,0.8897495865821838
washing_machine,bi_tcn_residual,acc,0.8578734397888184
washing_machine,fcn,acc,0.9804145097732544
kettle,jkdae_clip,mae,48.07763020832774
kettle,jklstm_clip,mae,29.250718086403065
kettle,s2s_clip,mae,60.27596999922777
kettle,bi_tcn_residual_clip,mae,95.62872648522648
kettle,fcn_clip,mae,29.806848098979163
fridge,jkdae_clip,mae,181.85492244295426
fridge,jklstm_clip,mae,295.94067225851114
fridge,s2s_clip,mae,162.93098601395687
fridge,bi_tcn_residual_clip,mae,272.9439220387317
fridge,fcn_clip,mae,233.63254103631752
microwave,jkdae_clip,mae,32.031638566471095
microwave,jklstm_clip,mae,31.01370563271605
microwave,s2s_clip,mae,32.75004246924804
microwave,bi_tcn_residual_clip,mae,31.01370563271605
microwave,fcn_clip,mae,30.18739510897574
dishwasher,jkdae_clip,mae,51.89927057043512
dishwasher,jklstm_clip,mae,49.189409203096154
dishwasher,s2s_clip,mae,50.56834701027989
dishwasher,bi_tcn_residual_clip,mae,135.34019078500376
dishwasher,fcn_clip,mae,31.55184129124211
washing_machine,jkdae_clip,mae,105.81308798924991
washing_machine,jklstm_clip,mae,71.20250009809594
washing_machine,s2s_clip,mae,98.66460468348934
washing_machine,bi_tcn_residual_clip,mae,91.85809319659174
washing_machine,fcn_clip,mae,65.74269980675017
kettle,jkdae_std_block,mae,59.455222224668866
kettle,jklstm_std_block,mae,10.820908820474996
kettle,s2s_std_block,mae,24.794384370951427
kettle,bi_tcn_residual_std_block,mae,33.47388511244589
kettle,fcn_std_block,mae,12.068414074248464
fridge,jkdae_std_block,mae,43.310622055978335
fridge,jklstm_std_block,mae,42.944094006270284
fridge,s2s_std_block,mae,43.281422819502424
fridge,bi_tcn_residual_std_block,mae,152.94945216768016
fridge,fcn_std_block,mae,43.29357011109901
microwave,jkdae_std_block,mae,58.14310914024828
microwave,jklstm_std_block,mae,56.35939047332162
microwave,s2s_std_block,mae,20.759591910807597
microwave,bi_tcn_residual_std_block,mae,24.733583106927398
microwave,fcn_std_block,mae,6.633099255442805
dishwasher,jkdae_std_block,mae,240.26300125811792
dishwasher,jklstm_std_block,mae,219.52733079108683
dishwasher,s2s_std_block,mae,31.739642410878513
dishwasher,bi_tcn_residual_std_block,mae,105.02215088918855
dishwasher,fcn_std_block,mae,11.165222288260598
washing_machine,jkdae_std_block,mae,158.8443142491148
washing_machine,jklstm_std_block,mae,144.5973053573622
washing_machine,s2s_std_block,mae,29.512715633890114
washing_machine,bi_tcn_residual_std_block,mae,66.27048135747067
washing_machine,fcn_std_block,mae,13.861414269680589
kettle,jkdae_std_loss,mae,50.625944690879855
kettle,jklstm_std_loss,mae,14.956994484886966
kettle,s2s_std_loss,mae,31.90769397863203
kettle,bi_tcn_residual_std_loss,mae,36.86571792415835
kettle,fcn_std_loss,mae,17.588080000018053
fridge,jkdae_std_loss,mae,29.688570424038804
fridge,jklstm_std_loss,mae,4.609199827530093
fridge,s2s_std_loss,mae,9.82638709576635
fridge,bi_tcn_residual_std_loss,mae,15.134424039096173
fridge,fcn_std_loss,mae,5.6223311878241
microwave,jkdae_std_loss,mae,26.190141871493143
microwave,jklstm_std_loss,mae,5.4804838274659025
microwave,s2s_std_loss,mae,25.749361873569892
microwave,bi_tcn_residual_std_loss,mae,27.34679255139939
microwave,fcn_std_loss,mae,6.216222781973437
dishwasher,jkdae_std_loss,mae,58.32289673425497
dishwasher,jklstm_std_loss,mae,36.47313442310178
dishwasher,s2s_std_loss,mae,31.893783939620267
dishwasher,bi_tcn_residual_std_loss,mae,134.8407624887764
dishwasher,fcn_std_loss,mae,8.4261542958968
washing_machine,jkdae_std_loss,mae,66.82084225288406
washing_machine,jklstm_std_loss,mae,25.467931933396795
washing_machine,s2s_std_loss,mae,29.146977263709864
washing_machine,bi_tcn_residual_std_loss,mae,68.16020332174267
washing_machine,fcn_std_loss,mae,13.079592238980847
